	Cis_wide	Cis_narrow	Trans_wide	Trans_narrow
8675	0.82536696	0.56217591	1.64500948	1.40621361
8740	0.82569507	0.55838139	1.64905560	1.40538457
8805	0.85051738	0.57230268	1.63999738	1.40987559
8870	0.85016772	0.56591609	1.64572159	1.40360413
8935	0.84631253	0.56445556	1.65821712	1.41660890
9001	0.85362878	0.56608464	1.62520231	1.39540353
9066	0.83554051	0.56713262	1.67438724	1.43216607
9131	0.83059367	0.56407342	1.65618279	1.41591763
9196	0.84355970	0.56730924	1.64953244	1.41267118
9261	0.83186449	0.57461343	1.65991985	1.41331682
9326	0.80943029	0.56679024	1.65568009	1.40291093
9391	0.83587831	0.57273971	1.63439741	1.39623710
9456	0.85255785	0.57570416	1.64054769	1.41532371
9521	0.84619573	0.56906164	1.66506787	1.41956875
9586	0.81989164	0.56603336	1.65542282	1.40068014
9651	0.82855931	0.56453437	1.66309687	1.42644619
9716	0.81262190	0.54516396	1.66555664	1.42146316
9782	0.82339018	0.56070853	1.66516689	1.40538463
9847	0.82227961	0.55793115	1.69212613	1.43496678
9912	0.84663188	0.56770523	1.65238745	1.39233251
9977	0.82795835	0.56670399	1.69306998	1.43004392
10042	0.83118829	0.55612553	1.66346734	1.42277812
10107	0.85355513	0.57074456	1.64876889	1.41764460
10172	0.83119007	0.54788334	1.65724330	1.40124803
10237	0.82681982	0.56077518	1.66231841	1.41457021
10302	0.82175602	0.56005651	1.67854014	1.43805555
10367	0.83232535	0.56030967	1.63914638	1.40450085
10432	0.82459327	0.56296768	1.66163750	1.42302112
10497	0.83458674	0.56137484	1.66739195	1.40858587
10562	0.81247799	0.55472136	1.63874398	1.41296575
10627	0.86840247	0.56925898	1.63434800	1.39330766
10692	0.81396693	0.56655343	1.66117183	1.40591539
10758	0.82062071	0.55645375	1.64574135	1.40120116
10823	0.83853084	0.56213306	1.67223733	1.42441240
10888	0.82927783	0.56772387	1.65909234	1.40727011
10953	0.84172765	0.56988129	1.64023259	1.39999009
11018	0.83928858	0.57120144	1.68227855	1.42600507
11083	0.83142826	0.56578129	1.68077694	1.42361317
11148	0.84356819	0.56419308	1.65528525	1.40718813
11213	0.85544809	0.58565697	1.66404216	1.41665109
11278	0.84141499	0.56682226	1.65602497	1.40953633
11343	0.82743833	0.55820560	1.64749731	1.40360993
11408	0.83787868	0.56697916	1.65120614	1.40255730
11473	0.83556482	0.56706145	1.65897226	1.40963580
11539	0.82550176	0.55321888	1.63425905	1.39057787
11604	0.82405628	0.56071912	1.64948385	1.41315741
11669	0.85755582	0.56841673	1.68063437	1.43035678
11734	0.84334309	0.56221593	1.66684003	1.41379088
11799	0.83345476	0.55926577	1.64947134	1.41345870
11864	0.84894093	0.57073914	1.69275204	1.42732322
11929	0.84163882	0.56754066	1.63000890	1.39612499
11994	0.84503224	0.56052538	1.66368342	1.40381557
12059	0.84331325	0.56867762	1.65496696	1.41004063
